source,target,type
Microsoft,Amazon,licensing
Microsoft,HTC,licensing
Samsung,Apple,suit
Motorola,Apple,suit
Nokia,Apple,resolved
HTC,Apple,suit
Kodak,Apple,suit
Microsoft,Barnes & Noble,suit
Microsoft,Foxconn,suit
Oracle,Google,suit
Apple,HTC,suit
Microsoft,Inventec,suit
Samsung,Kodak,resolved
LG,Kodak,resolved
RIM,Kodak,suit
Sony,LG,suit
Kodak,LG,resolved
Apple,Nokia,resolved
Qualcomm,Nokia,resolved
Apple,Motorola,suit
Microsoft,Motorola,suit
Motorola,Microsoft,suit
Huawei,ZTE,suit
Ericsson,ZTE,suit
Kodak,Samsung,resolved
Apple,Samsung,suit
Kodak,RIM,suit
Nokia,Qualcomm,suit
